,title,lastrevid
26992194,Nexhip Draga,1092914547.0
41985495,Aqif Pasha Elbasani,1114425909.0
20380987,Abas Ermenji,1073827690.0
70364199,Bajram Fevziu,1089008480.0
32349690,Qamil Musa Haxhi Feza,1015553118.0
30489046,Themistokli Gërmenji,1099714241.0
30559670,Sabri Godo,1105835401.0
27373846,Mihal Grameno,1095879069.0
36774890,Aćif Hadžiahmetović,1104696112.0
43297113,Albulena Haxhiu,1095286065.0
32349836,High Council of Regency,1107096289.0
33873871,Spiridon Kacarosi,993288548.0
19887779,Kurt Agë Kadiu,998414015.0
30069896,Mehmed Kalakula,979382854.0
20381295,Alfred Karamuço,1098236555.0
65554476,Ibrahim Karbunara,1053849574.0
26297658,Ali Këlcyra,1069956844.0
67678471,Belind Këlliçi,1114971095.0
17273406,Bajram Kelmendi,1098232331.0
44712134,Kristo Kirka,1071577370.0
18022058,Elez Koçi,919356105.0
70362342,Ali Riza Kolonja,1095185542.0
31975455,Glauk Konjufca,1110511667.0
19887745,Xhelal Koprëncka,1106794268.0
40795168,Kryeziu family,1113466121.0
31509315,Artur Kuko,1112281132.0
70365511,Xhavid Leskoviku,1080104315.0
28362818,Sabit Lulo,1071576324.0
10398792,Gjon Markagjoni,1114419158.0
25589553,Tefik Mborja,1112281218.0
12886933,Fatmir Mediu,1108640753.0
22352985,Hysni Milloshi,1111101481.0
58108950,Musa Qazimi,1085455681.0
32349706,Mustafa Ndroqi,1091483288.0
30070258,Behxhet Nepravishta,1114419169.0
5494953,Adrian Neritani,1112281129.0
33944243,Sali Nivica,1074384873.0
30250352,Thoma Orologa,1114419178.0
19888020,Bedri Pejani,1080373501.0
30490398,Pertef Pogoni,1071576384.0
41883528,Kadri Prishtina,1115424613.0
15757646,Ymer Prizreni,1114419180.0
14069803,Avni Rustemi,1113688253.0
9088115,Chatin Sarachi,1089622596.0
19887761,Nebi Sefa,978173646.0
31573475,Eduard Shalsi,1090651886.0
54102033,Ylli Vesel Shehu,1002857261.0
68783046,Athanas Shundi,1090001664.0
71208531,Xhelal Sveçla,1110419834.0
28382311,Mehmet Tahsini,1089358942.0
27611512,Ibrahim Temo,1114899959.0
70312692,Pavli Terka,1107079359.0
63869149,Afrim Tole,1091240960.0
6949696,Sejfi Vllamasi,1073823015.0
19887929,Syrja Vlora,1109383587.0
41653012,Visarion Xhuvani,1115321286.0
31973610,Visar Ymeri,1036757024.0
61607609,Abdyl Ypi,1075914314.0
20381423,Xhezair Zaganjori,1106753028.0
55668009,Menduh Zavalani,1071577719.0
59103818,Said Abadou,1112193748.0
59046631,Tahar Allan,1059626268.0
59079383,Mohamed Seghir Babes,1079379844.0
59079230,Djelloul Baghli,1053461392.0
59012695,Noureddine Bahbouh,1099284595.0
59103836,Lamine Bechichi,1111537825.0
53008015,Bakhti Belaïb,1107713309.0
54516484,Mohamed Belouizdad,1102331624.0
59103542,Mourad Benachenou,1091746754.0
54801060,Benaouda Hadj Hacène Bachterzi,1064464792.0
55843103,Souad Bendjaballah,1064463751.0
54800721,Mohammed Saleh Bendjelloul,1064459314.0
59103577,Mohamed Bensalam,1053464158.0
19132132,Said Boualam,1104123484.0
50042323,Abdeslam Bouchouareb,1053459025.0
59054253,Brahim Chibout,1053460621.0
67257964,Bouras Djamel,1072064909.0
59054186,Ahmed Djebbar,1112131049.0
40934630,Fatiha Serour,1019766063.0
67243075,Mohamed Hassaïne,1098798192.0
69357237,Ibrahim Boughali,1110540602.0
59079524,Abdenour Keramane,1028900906.0
59054457,Abelkader Khamri,1088927932.0
69719801,Mahmoud Khedri,1102198843.0
59103419,Mohamed Laïchoubi,1053469601.0
59079334,Sassi Lamouri,1053478920.0
59103344,Mohamed Maghlaoui,1053469610.0
59046398,Amar Makhloufi,1053459748.0
59046583,Hacen Mefti,1053461924.0
59046669,Mokhtar Meherzi,1028900891.0
