date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,1845,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
2020-05-22,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17698,1775,0.02,0.014,0.053,0.151,0.762
2020-05-23,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17714,1775,0.02,0.014,0.053,0.151,0.762
2020-05-24,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17851,1775,0.02,0.014,0.053,0.151,0.762
2020-05-25,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17949,1775,0.02,0.014,0.053,0.151,0.762
2020-05-26,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18013,1775,0.02,0.014,0.053,0.151,0.762
2020-05-27,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18076,1775,0.02,0.014,0.053,0.151,0.762
2020-05-28,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18217,1775,0.02,0.014,0.053,0.151,0.762
2020-05-29,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18284,1775,0.02,0.014,0.053,0.151,0.762
2020-05-30,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18273,1775,0.02,0.014,0.053,0.151,0.762
2020-05-31,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18334,1775,0.02,0.014,0.053,0.151,0.762
2020-06-01,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18367,1775,0.02,0.014,0.053,0.151,0.762
2020-06-02,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18406,1775,0.02,0.014,0.053,0.151,0.762
2020-06-03,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18451,1775,0.02,0.014,0.053,0.151,0.762
2020-06-04,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18485,1775,0.02,0.014,0.053,0.151,0.762
2020-06-05,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18541,1775,0.02,0.014,0.053,0.151,0.762
2020-06-06,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18573,1775,0.02,0.014,0.053,0.151,0.762
2020-06-07,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18593,1775,0.02,0.014,0.053,0.151,0.762
2020-06-08,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18625,1775,0.02,0.014,0.053,0.151,0.762
2020-06-09,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18662,1775,0.02,0.014,0.053,0.151,0.762
2020-06-10,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18761,1775,0.02,0.014,0.053,0.151,0.762
2020-06-11,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18814,1775,0.02,0.014,0.053,0.151,0.762
2020-06-12,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18840,1775,0.02,0.014,0.053,0.151,0.762
2020-06-13,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18903,1775,0.02,0.014,0.053,0.151,0.762
2020-06-14,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18919,1775,0.02,0.014,0.053,0.151,0.762
2020-06-15,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18949,1775,0.02,0.014,0.053,0.151,0.762
2020-06-16,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19006,1775,0.02,0.014,0.053,0.151,0.762
2020-06-17,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19034,1775,0.02,0.014,0.053,0.151,0.762
2020-06-18,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19059,1775,0.02,0.014,0.053,0.151,0.762
2020-06-19,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19080,1775,0.02,0.014,0.053,0.151,0.762
2020-06-20,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19112,1775,0.02,0.014,0.053,0.151,0.762
2020-06-21,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19126,1775,0.02,0.014,0.053,0.151,0.762
2020-06-22,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19158,1775,0.02,0.014,0.053,0.151,0.762
2020-06-23,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19200,1775,0.02,0.014,0.053,0.151,0.762
2020-06-24,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19232,1775,0.02,0.014,0.053,0.151,0.762
2020-06-25,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19307,1775,0.02,0.014,0.053,0.151,0.762
2020-06-26,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19408,1775,0.02,0.014,0.053,0.151,0.762
2020-06-27,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19422,1775,0.02,0.014,0.053,0.151,0.762
2020-06-28,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19501,1775,0.02,0.014,0.053,0.151,0.762
2020-06-29,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19525,1775,0.02,0.014,0.053,0.151,0.762
2020-06-30,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19579,1775,0.02,0.014,0.053,0.151,0.762
2020-07-01,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19603,1775,0.02,0.014,0.053,0.151,0.762
2020-07-02,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19639,1775,0.02,0.014,0.053,0.151,0.762
2020-07-03,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19702,1775,0.02,0.014,0.053,0.151,0.762
2020-07-04,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19732,1775,0.02,0.014,0.053,0.151,0.762
2020-07-05,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19796,1775,0.02,0.014,0.053,0.151,0.762
2020-07-06,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19828,1775,0.02,0.014,0.053,0.151,0.762
2020-07-07,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19854,1775,0.02,0.014,0.053,0.151,0.762
2020-07-08,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,19913,1775,0.02,0.014,0.053,0.151,0.762
2020-07-09,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,19955,1775,0.02,0.014,0.053,0.151,0.762
2020-07-10,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20017,1775,0.02,0.014,0.053,0.151,0.762
2020-07-11,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20041,1775,0.02,0.014,0.053,0.151,0.762
2020-07-12,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20067,1775,0.02,0.014,0.053,0.151,0.762
2020-07-13,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20094,1775,0.02,0.014,0.053,0.151,0.762
2020-07-14,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20113,1775,0.02,0.014,0.053,0.151,0.762
2020-07-15,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20140,1775,0.02,0.014,0.053,0.151,0.762
2020-07-16,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20168,1775,0.02,0.014,0.053,0.151,0.762
2020-07-17,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20191,1775,0.02,0.014,0.053,0.151,0.762
2020-07-18,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20206,1775,0.02,0.014,0.053,0.151,0.762
2020-07-19,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20209,1775,0.02,0.014,0.053,0.151,0.762
2020-07-20,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20271,1775,0.02,0.014,0.053,0.151,0.762
2020-07-21,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20296,1775,0.02,0.014,0.053,0.151,0.762
2020-07-22,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20350,1775,0.02,0.014,0.053,0.151,0.762
2020-07-23,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20391,1775,0.02,0.014,0.053,0.151,0.762
2020-07-24,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20421,1775,0.02,0.014,0.053,0.151,0.762
2020-07-25,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20454,1775,0.02,0.014,0.053,0.151,0.762
2020-07-26,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20495,1775,0.02,0.014,0.053,0.151,0.762
2020-07-27,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20554,1775,0.02,0.014,0.053,0.151,0.762
2020-07-28,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20619,1775,0.02,0.014,0.053,0.151,0.762
2020-07-29,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20675,1775,0.02,0.014,0.053,0.151,0.762
2020-07-30,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20700,1775,0.02,0.014,0.053,0.151,0.762
2020-07-31,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20769,1775,0.02,0.014,0.053,0.151,0.762
2020-08-01,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20793,1775,0.02,0.014,0.053,0.151,0.762
2020-08-02,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20821,1775,0.02,0.014,0.053,0.151,0.762
2020-08-03,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20857,1775,0.02,0.014,0.053,0.151,0.762
2020-08-04,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20918,1775,0.02,0.014,0.053,0.151,0.762
2020-08-05,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20950,1775,0.02,0.014,0.053,0.151,0.762
2020-08-06,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20985,1775,0.02,0.014,0.053,0.151,0.762
