,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,confirmed_cases,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,rate
39,2020-05-19,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17553,1775,0.02,0.014,0.053,0.151,0.762,73.7
40,2020-05-20,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17553,1775,0.02,0.014,0.053,0.151,0.762,61.2
41,2020-05-21,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17621,1775,0.02,0.014,0.053,0.151,0.762,57.6
42,2020-05-22,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17698,1775,0.02,0.014,0.053,0.151,0.762,58.8
43,2020-05-23,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17714,1775,0.02,0.014,0.053,0.151,0.762,54.3
44,2020-05-24,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17851,1775,0.02,0.014,0.053,0.151,0.762,74.8
45,2020-05-25,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17949,1775,0.02,0.014,0.053,0.151,0.762,72.8
46,2020-05-26,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18013,1775,0.02,0.014,0.053,0.151,0.762,74.1
47,2020-05-27,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18076,1775,0.02,0.014,0.053,0.151,0.762,68.9
48,2020-05-28,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18217,1775,0.02,0.014,0.053,0.151,0.762,73.0
49,2020-05-29,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18284,1775,0.02,0.014,0.053,0.151,0.762,73.1
50,2020-05-30,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18273,1775,0.02,0.014,0.053,0.151,0.762,72.0
51,2020-05-31,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18334,1775,0.02,0.014,0.053,0.151,0.762,71.3
52,2020-06-01,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18367,1775,0.02,0.014,0.053,0.151,0.762,66.9
53,2020-06-02,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18406,1775,0.02,0.014,0.053,0.151,0.762,69.2
54,2020-06-03,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18451,1775,0.02,0.014,0.053,0.151,0.762,60.0
55,2020-06-04,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18485,1775,0.02,0.014,0.053,0.151,0.762,53.6
56,2020-06-05,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18541,1775,0.02,0.014,0.053,0.151,0.762,52.8
57,2020-06-06,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18573,1775,0.02,0.014,0.053,0.151,0.762,49.7
58,2020-06-07,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18593,1775,0.02,0.014,0.053,0.151,0.762,37.6
59,2020-06-08,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18625,1775,0.02,0.014,0.053,0.151,0.762,34.1
60,2020-06-09,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18662,1775,0.02,0.014,0.053,0.151,0.762,38.9
61,2020-06-10,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18761,1775,0.02,0.014,0.053,0.151,0.762,42.7
62,2020-06-11,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18814,1775,0.02,0.014,0.053,0.151,0.762,44.7
63,2020-06-12,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18840,1775,0.02,0.014,0.053,0.151,0.762,43.4
64,2020-06-13,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18903,1775,0.02,0.014,0.053,0.151,0.762,45.2
65,2020-06-14,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18919,1775,0.02,0.014,0.053,0.151,0.762,43.4
66,2020-06-15,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18949,1775,0.02,0.014,0.053,0.151,0.762,40.8
67,2020-06-16,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19006,1775,0.02,0.014,0.053,0.151,0.762,43.3
68,2020-06-17,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19034,1775,0.02,0.014,0.053,0.151,0.762,44.1
69,2020-06-18,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19059,1775,0.02,0.014,0.053,0.151,0.762,43.4
70,2020-06-19,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19080,1775,0.02,0.014,0.053,0.151,0.762,41.8
71,2020-06-20,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19112,1775,0.02,0.014,0.053,0.151,0.762,35.1
72,2020-06-21,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19126,1775,0.02,0.014,0.053,0.151,0.762,31.2
73,2020-06-22,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19158,1775,0.02,0.014,0.053,0.151,0.762,31.8
74,2020-06-23,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19200,1775,0.02,0.014,0.053,0.151,0.762,29.7
75,2020-06-24,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19232,1775,0.02,0.014,0.053,0.151,0.762,31.3
76,2020-06-25,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19307,1775,0.02,0.014,0.053,0.151,0.762,35.8
77,2020-06-26,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19408,1775,0.02,0.014,0.053,0.151,0.762,40.2
78,2020-06-27,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19422,1775,0.02,0.014,0.053,0.151,0.762,38.8
79,2020-06-28,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19501,1775,0.02,0.014,0.053,0.151,0.762,44.2
80,2020-06-29,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19525,1775,0.02,0.014,0.053,0.151,0.762,44.5
81,2020-06-30,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19579,1775,0.02,0.014,0.053,0.151,0.762,46.7
82,2020-07-01,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19603,1775,0.02,0.014,0.053,0.151,0.762,47.7
83,2020-07-02,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19639,1775,0.02,0.014,0.053,0.151,0.762,48.1
84,2020-07-03,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19702,1775,0.02,0.014,0.053,0.151,0.762,50.2
85,2020-07-04,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19732,1775,0.02,0.014,0.053,0.151,0.762,50.0
86,2020-07-05,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19796,1775,0.02,0.014,0.053,0.151,0.762,48.9
87,2020-07-06,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19828,1775,0.02,0.014,0.053,0.151,0.762,42.0
88,2020-07-07,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19854,1775,0.02,0.014,0.053,0.151,0.762,43.2
89,2020-07-08,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,19913,1775,0.02,0.014,0.053,0.151,0.762,41.2
90,2020-07-09,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,19955,1775,0.02,0.014,0.053,0.151,0.762,43.0
91,2020-07-10,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20017,1775,0.02,0.014,0.053,0.151,0.762,43.8
92,2020-07-11,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20041,1775,0.02,0.014,0.053,0.151,0.762,43.8
93,2020-07-12,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20067,1775,0.02,0.014,0.053,0.151,0.762,42.8
94,2020-07-13,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20094,1775,0.02,0.014,0.053,0.151,0.762,39.2
95,2020-07-14,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20113,1775,0.02,0.014,0.053,0.151,0.762,38.1
96,2020-07-15,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20140,1775,0.02,0.014,0.053,0.151,0.762,34.4
97,2020-07-16,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20168,1775,0.02,0.014,0.053,0.151,0.762,34.0
98,2020-07-17,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20191,1775,0.02,0.014,0.053,0.151,0.762,33.7
99,2020-07-18,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20206,1775,0.02,0.014,0.053,0.151,0.762,29.3
100,2020-07-19,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20209,1775,0.02,0.014,0.053,0.151,0.762,25.4
101,2020-07-20,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20271,1775,0.02,0.014,0.053,0.151,0.762,25.4
102,2020-07-21,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20296,1775,0.02,0.014,0.053,0.151,0.762,25.5
103,2020-07-22,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20350,1775,0.02,0.014,0.053,0.151,0.762,28.3
104,2020-07-23,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20391,1775,0.02,0.014,0.053,0.151,0.762,29.7
105,2020-07-24,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20421,1775,0.02,0.014,0.053,0.151,0.762,30.8
106,2020-07-25,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20454,1775,0.02,0.014,0.053,0.151,0.762,31.4
107,2020-07-26,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20495,1775,0.02,0.014,0.053,0.151,0.762,32.7
108,2020-07-27,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20554,1775,0.02,0.014,0.053,0.151,0.762,36.3
109,2020-07-28,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20619,1775,0.02,0.014,0.053,0.151,0.762,41.3
110,2020-07-29,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20675,1775,0.02,0.014,0.053,0.151,0.762,46.6
111,2020-07-30,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20700,1775,0.02,0.014,0.053,0.151,0.762,42.9
112,2020-07-31,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20769,1775,0.02,0.014,0.053,0.151,0.762,47.3
113,2020-08-01,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20793,1775,0.02,0.014,0.053,0.151,0.762,44.3
114,2020-08-02,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20821,1775,0.02,0.014,0.053,0.151,0.762,43.0
115,2020-08-03,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20857,1775,0.02,0.014,0.053,0.151,0.762,43.6
116,2020-08-04,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20918,1775,0.02,0.014,0.053,0.151,0.762,46.4
117,2020-08-05,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20950,1775,0.02,0.014,0.053,0.151,0.762,45.5
118,2020-08-06,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,20985,1775,0.02,0.014,0.053,0.151,0.762,43.1
119,2020-08-07,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21014,1775,0.02,0.014,0.053,0.151,0.762,39.5
120,2020-08-08,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21075,1775,0.02,0.014,0.053,0.151,0.762,40.0
121,2020-08-09,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21120,1775,0.02,0.014,0.053,0.151,0.762,42.0
122,2020-08-10,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21159,1775,0.02,0.014,0.053,0.151,0.762,39.0
123,2020-08-11,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21202,1775,0.02,0.014,0.053,0.151,0.762,40.9
124,2020-08-12,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21241,1775,0.02,0.014,0.053,0.151,0.762,42.0
125,2020-08-13,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21285,1775,0.02,0.014,0.053,0.151,0.762,42.8
126,2020-08-14,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21406,1775,0.02,0.014,0.053,0.151,0.762,48.8
127,2020-08-15,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21471,1775,0.02,0.014,0.053,0.151,0.762,52.1
128,2020-08-16,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21548,1775,0.02,0.014,0.053,0.151,0.762,56.3
129,2020-08-17,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21635,1775,0.02,0.014,0.053,0.151,0.762,62.1
130,2020-08-18,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21664,1775,0.02,0.014,0.053,0.151,0.762,58.9
131,2020-08-19,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21671,1775,0.02,0.014,0.053,0.151,0.762,55.1
132,2020-08-20,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21631,1775,0.02,0.014,0.053,0.151,0.762,47.2
133,2020-08-21,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21652,1775,0.02,0.014,0.053,0.151,0.762,45.0
134,2020-08-22,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21687,1775,0.02,0.014,0.053,0.151,0.762,44.6
135,2020-08-23,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21697,1775,0.02,0.014,0.053,0.151,0.762,41.2
136,2020-08-24,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21732,1775,0.02,0.014,0.053,0.151,0.762,32.6
137,2020-08-25,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21782,1775,0.02,0.014,0.053,0.151,0.762,31.1
138,2020-08-26,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21827,1775,0.02,0.014,0.053,0.151,0.762,27.9
139,2020-08-27,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21849,1775,0.02,0.014,0.053,0.151,0.762,21.4
140,2020-08-28,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21872,1775,0.02,0.014,0.053,0.151,0.762,20.8
141,2020-08-29,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21920,1775,0.02,0.014,0.053,0.151,0.762,24.9
142,2020-08-30,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21957,1775,0.02,0.014,0.053,0.151,0.762,32.6
143,2020-08-31,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22004,1775,0.02,0.014,0.053,0.151,0.762,35.2
144,2020-09-01,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22074,1775,0.02,0.014,0.053,0.151,0.762,38.7
145,2020-09-02,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22104,1775,0.02,0.014,0.053,0.151,0.762,40.7
146,2020-09-03,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22141,1775,0.02,0.014,0.053,0.151,0.762,40.9
147,2020-09-04,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22174,1775,0.02,0.014,0.053,0.151,0.762,39.2
148,2020-09-05,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22178,1775,0.02,0.014,0.053,0.151,0.762,35.1
149,2020-09-06,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22211,1775,0.02,0.014,0.053,0.151,0.762,36.2
150,2020-09-07,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22243,1775,0.02,0.014,0.053,0.151,0.762,37.1
151,2020-09-08,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22278,1775,0.02,0.014,0.053,0.151,0.762,35.8
152,2020-09-09,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22308,1775,0.02,0.014,0.053,0.151,0.762,35.1
153,2020-09-10,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22332,1775,0.02,0.014,0.053,0.151,0.762,32.8
154,2020-09-11,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22369,1775,0.02,0.014,0.053,0.151,0.762,29.5
155,2020-09-12,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22385,1775,0.02,0.014,0.053,0.151,0.762,28.1
156,2020-09-13,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22424,1775,0.02,0.014,0.053,0.151,0.762,28.3
157,2020-09-14,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22457,1775,0.02,0.014,0.053,0.151,0.762,28.3
158,2020-09-15,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22467,1775,0.02,0.014,0.053,0.151,0.762,28.9
159,2020-09-16,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22501,1775,0.02,0.014,0.053,0.151,0.762,29.0
